热点标题	热点关键词
国家统计局：7月份CPI同比上涨1.6%	国家统计局 ： 7 月份 CPI 同比 上涨 1.6 %
中纪委原书记尉健行逝世享年85岁	中纪委 原 书记 尉健行 逝世 享年 85 岁 
广电总局认定毕福剑“严重违反政治纪律”	广电总局 认定 毕福剑 “ 严重 违反 政治 纪律 ” 
北京遭暴雨冰雹侵袭	北京 遭 暴雨 冰雹 侵袭 
人民日报:房地产税能给老百姓带来什么?	人民日报 : 房地产 税 能 给 老百姓 带来 什么 ? 
泰国外长看了王毅一眼:如果我是女人我会爱上他	泰国 外长 看 了 王毅 一 眼 : 如果 我 是 女人 我会 爱上 他 
大宗商品价格下跌是PPI跌幅扩大的主因	大宗 商品 价格 下跌 是 PPI 跌幅 扩大 的 主因 
中金首席经济学家:人民币加入SDR是大概率事件	中金 首席 经济学家 : 人民币 加入 SDR 是 大 概率 事件 
上海9家银行二套房贷首付提至七成提高购房门槛	上海 9 家 银行 二套房 贷 首付 提 至 七 成 提高 购房 门槛 
中国房价未来究竟涨不涨?	中国 房价 未来 究竟 涨 不 涨 ? 
中远中海筹划重大事项 旗下公司10日起停牌	中 远中 海 筹划 重大 事项   旗下 公司 10 日 起 停牌 
快讯:券商股午后拉升东兴证券大涨8%	快讯 : 券商 股 午后 拉 升 东兴证券 大 涨 8 %
沪指涨逾2%站稳3800点 创业板涨超2%	沪 指 涨逾 2 % 站稳 3800 点   创业板 涨超 2 %
收评:沪指大涨近5%站稳3900布局二次上攻	收 评 : 沪 指 大 涨 近 5 % 站稳 3900 布局 二 次 上攻 
央行11月发行新版百元面值纸币图案有调整(图)	央行 11 月 发行 新版 百 元 面值 纸币 图案 有 调整 ( 图 ) 
外媒:中国减持1800亿美国国债并没有损伤美国经济	外 媒 : 中国 减持 1800 亿 美国 国债 并 没有 损伤 美国 经济 
国家统计局：7月份PPI同比降5.4% 降幅略扩大	国家统计局 ： 7 月份 PPI 同 比降 5.4 %   降幅 略 扩大 
樊纲:经济过于低迷哪里出了问题	樊纲 : 经济 过于 低迷 哪里 出 了 问题 
2000亿元“国家队基金”加入护盘3基金上周现建仓迹象	2000 亿元 “ 国家队 基金 ” 加入 护盘 3 基金 上周 现 建仓 迹象 
权威发布：7月物价温和上涨 涨幅略有扩大	权威 发布 ： 7 月 物价 温和 上涨   涨幅 略 有 扩大 
前首富刘永好之女刘畅领证结婚(图)	前 首富 刘永好 之 女 刘畅 领证 结婚 ( 图 ) 
7月CPI创年内新高 为何还要防“通货紧缩”？	7 月 CPI 创 年内 新高   为何 还要 防 “ 通货紧缩 ” ？ 
股基仓位80%下限正式实施1.27万亿元子弹入膛	股 基 仓位 80 % 下限 正式 实施 1.27 万亿 元子 弹入 膛 
金价跌跌不休 销售扶摇直上	金价 跌 跌 不休   销售 扶摇直上 
券商称市场进入敏感期8月行情将反复折腾	券商 称 市场 进入 敏感期 8 月 行情 将 反复 折腾 
7月出口同比大降8.9%江苏等外贸强省相对稳定	7 月 出口 同比 大 降 8.9 % 江苏 等 外贸 强 省 相对 稳定 
消息称百度万达斥资100亿元参与苏宁定向增发	消息 称 百度 万达 斥资 100 亿元 参与 苏宁 定向 增发 
奥康携手美国运动品牌斯凯奇进军运动板块	奥康 携手 美国 运动 品牌 斯 凯奇 进军 运动 板块 
如何透过财务指标筛选优质股票	如何 透过 财务指标 筛选 优质 股票 
山西“焦炭大王”病逝“两妻7子女”争百亿资产(图)	山西 “ 焦炭 大王 ” 病逝 “ 两 妻 7 子女 ” 争 百 亿 资产 ( 图 ) 
证金公司护盘满月三大渠道捕捉扫货路径	证 金 公司 护盘 满月 三大 渠道 捕捉 扫货 路径 
曹一菲:8.10现货白银,现货原油大波利润即将来袭	曹一 菲 : 8.10 现货 白银 , 现货 原油 大波 利润 即将 来袭 
佩斯铸币局专家:中国鼓励私人持金总黄金储备超万吨	佩斯 铸币局 专家 : 中国 鼓励 私人 持 金总 黄金 储备 超 万吨 
传国企改革方案将出台200多家央企整合股在此	传 国企 改革 方案 将 出台 200 多 家 央企 整合 股 在 此 
中海油停发上半年业绩奖金 低油价下降薪潮愈演愈烈	中海油 停发 上半年 业绩 奖金   低 油价 下降 薪 潮 愈演愈烈 
人民日报谈征税:是一种拔鹅毛的艺术	人民日报 谈 征税 : 是 一 种 拔 鹅毛 的 艺术 
山西“焦炭大王”病逝两妻七子女争百亿资产	山西 “ 焦炭 大王 ” 病逝 两 妻 七 子女 争 百 亿 资产 
央企改革概念股全线大涨中材节能涨停	央企 改革 概念股 全线 大 涨 中材 节能 涨停 
前首富独生女嫁青年导演被曝已怀孕半年(图)	前 首富 独生女 嫁 青年 导演 被 曝 已 怀孕 半 年 ( 图 ) 
上万亿中国特色的QE悄然展开	上万 亿 中国 特色 的 QE 悄然 展开 
中证金究竟买了哪些股票救市资金雨露所及一览	中 证 金 究竟 买了 哪些 股票 救市 资金 雨露 所及 一览 
